Bulk loading file /home/kimonas/iot_data/influx-data-large.csv
{"results":[{"statement_id":0}]}
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1640339273,247747.28,1.486488E+07,247747.28,31333.24,1.880000E+06,31333.24
1640339333,259631.61,3.044277E+07,253689.44,32833.35,3.850000E+06,32083.29
1640339393,296490.85,4.823221E+07,267956.55,37500.03,6.100000E+06,33888.87
1640339453,213479.89,6.104101E+07,254337.39,26999.99,7.720000E+06,32166.65
1640339513,350536.80,8.207329E+07,273577.32,44333.17,1.038000E+07,34599.96
1640339573,255613.91,9.741077E+07,270583.32,32331.99,1.232000E+07,34221.95
1640339633,334724.80,1.174934E+08,279745.97,42335.24,1.486000E+07,35380.94
1640339693,374250.58,1.399484E+08,291559.04,47333.32,1.770000E+07,36874.99
1640339753,285964.39,1.571062E+08,290937.42,36166.71,1.987000E+07,36796.29
1640339813,258276.79,1.726029E+08,287671.35,32666.63,2.183000E+07,36383.32
1640339873,263541.16,1.884156E+08,285477.66,33332.76,2.383000E+07,36106.00
1640339933,253028.50,2.035970E+08,282773.61,32000.55,2.575000E+07,35763.88
1640339993,239837.77,2.179873E+08,279470.86,30333.32,2.757000E+07,35346.15
1640340053,230616.23,2.318243E+08,275981.24,29166.68,2.932000E+07,34904.76
1640340113,233248.05,2.458192E+08,273132.37,29500.03,3.109000E+07,34544.44
1640340173,246414.96,2.606041E+08,271462.53,31166.65,3.296000E+07,34333.33
1640340233,355808.15,2.819527E+08,276424.06,44999.72,3.566000E+07,34960.77
1640340293,374199.75,3.044072E+08,281856.63,47327.88,3.850000E+07,35647.90
1640340353,308373.60,3.229076E+08,283252.11,39004.30,4.084000E+07,35824.54
1640340413,235891.54,3.370610E+08,280884.11,29833.65,4.263000E+07,35525.00
1640340473,148896.94,3.459948E+08,274599.01,18833.35,4.376000E+07,34730.16
1640340533,171306.50,3.562732E+08,269903.86,21666.49,4.506000E+07,34136.35
1640340593,268807.25,3.724016E+08,269856.18,34000.20,4.710000E+07,34130.43
1640340653,258287.73,3.878988E+08,269374.16,32666.74,4.906000E+07,34069.44
1640340713,321516.94,4.071899E+08,271459.88,40666.58,5.150000E+07,34333.33
1640340773,337356.64,4.274312E+08,273994.37,42666.72,5.406000E+07,34653.84
1640340833,355805.56,4.487796E+08,277024.41,45000.02,5.676000E+07,35037.03
1640340893,326812.98,4.683884E+08,278802.57,41333.31,5.924000E+07,35261.90
1640340953,353157.07,4.895779E+08,281366.53,44666.42,6.192000E+07,35586.20
1640341013,308352.62,5.080790E+08,282266.07,39000.21,6.426000E+07,35700.00
1640341073,353158.78,5.292685E+08,284552.93,44666.66,6.694000E+07,35989.24
1640341133,307036.62,5.476908E+08,285255.55,38833.03,6.927000E+07,36078.11
1640341193,308340.63,5.661920E+08,285955.12,38998.48,7.161000E+07,36166.61
1640341253,282023.03,5.831126E+08,285839.48,35668.35,7.375000E+07,36151.96
1640341313,343933.16,6.037486E+08,287499.30,43500.02,7.636000E+07,36361.90
1640341373,357108.82,6.251751E+08,289432.89,45166.65,7.907000E+07,36606.48
1640341433,343963.40,6.458129E+08,290906.69,43500.03,8.168000E+07,36792.79
1640341493,338673.14,6.661333E+08,292163.70,42833.28,8.425000E+07,36951.75
1640341553,299155.08,6.840827E+08,292342.97,37833.08,8.652000E+07,36974.35
1640341613,222707.09,6.974451E+08,290602.09,28166.85,8.821000E+07,36754.16
1640341673,196356.25,7.092264E+08,288303.41,24833.31,8.970000E+07,36463.41
1640341733,297812.41,7.270952E+08,288529.81,37666.73,9.196000E+07,36492.06
1640341793,328130.15,7.467830E+08,289450.75,41499.99,9.445000E+07,36608.52
1640341853,308347.47,7.652838E+08,289880.22,38999.96,9.679000E+07,36662.88
1640341913,241157.43,7.797533E+08,288797.49,30500.03,9.862000E+07,36525.92
