Bulk loading file /home/kimonas/iot_data/timescale-data-large.csv
localhost:5433 - accepting connections
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1640551596,325011.09,1.950071E+07,325011.09,64999.85,3.900000E+06,64999.85
1640551656,241661.51,3.400048E+07,283336.24,48333.07,6.800000E+06,56666.45
1640551716,204999.94,4.630041E+07,257224.30,41000.23,9.260000E+06,51444.41
1640551776,228304.75,5.999868E+07,249994.42,45666.71,1.200000E+07,49999.98
1640551836,166672.62,6.999905E+07,233330.05,33333.30,1.400000E+07,46666.65
1640551896,174999.49,8.049901E+07,223608.30,35000.02,1.610000E+07,44722.21
1640551956,236657.97,9.469852E+07,225472.54,47333.25,1.894000E+07,45095.21
1640552016,183334.40,1.056986E+08,220205.28,36666.73,2.114000E+07,44041.66
1640552076,261651.58,1.213977E+08,224810.43,52333.32,2.428000E+07,44962.95
1640552136,250013.20,1.363984E+08,227330.70,50000.07,2.728000E+07,45466.66
1640552196,197492.23,1.482480E+08,224618.11,39499.97,2.965000E+07,44924.24
1640552256,207501.34,1.606981E+08,223191.72,41500.02,3.214000E+07,44638.88
1640552316,189988.42,1.720973E+08,220637.62,38000.03,3.442000E+07,44128.20
1640552376,134170.49,1.801476E+08,214461.38,26833.28,3.603000E+07,42892.85
1640552436,119159.67,1.872972E+08,208107.92,23833.24,3.746000E+07,41622.21
1640552496,176685.57,1.978983E+08,206144.03,35333.53,3.958000E+07,41229.17
1640552556,228320.81,2.115975E+08,207448.55,45666.66,4.232000E+07,41490.19
1640552616,279987.20,2.283968E+08,211478.48,55999.93,4.568000E+07,42296.29
1640552676,299160.38,2.463466E+08,216093.36,59832.68,4.927000E+07,43219.27
1640552736,298323.84,2.642458E+08,220204.83,59667.39,5.285000E+07,44041.66
1640552796,283337.28,2.812461E+08,223211.14,56666.59,5.625000E+07,44642.85
1640552856,278331.96,2.979460E+08,225716.64,55666.51,5.959000E+07,45143.93
1640552916,263335.66,3.137461E+08,227352.25,52666.82,6.275000E+07,45471.01
1640552976,276661.68,3.303458E+08,229406.81,55333.34,6.607000E+07,45881.94
1640553036,261623.23,3.460456E+08,230695.65,52325.30,6.921000E+07,46139.71
1640553096,252531.04,3.611952E+08,231535.35,50507.76,7.224000E+07,46307.69
1640553156,250841.42,3.762457E+08,232250.39,50166.66,7.525000E+07,46450.61
1640553216,268328.61,3.923454E+08,233538.89,53666.66,7.847000E+07,46708.33
1640553276,208338.38,4.048457E+08,232669.91,41666.68,8.097000E+07,46534.48
1640598353,57503.24,4.082959E+08,226831.03,11500.01,8.166000E+07,45366.66
1640598413,99175.36,4.142464E+08,222713.10,19833.31,8.285000E+07,44543.01
1640598473,80005.41,4.190467E+08,218253.49,16000.02,8.381000E+07,43651.04
1640598533,144180.13,4.276975E+08,216008.84,28833.32,8.554000E+07,43202.02
1640598593,196663.16,4.394973E+08,215439.85,39333.26,8.790000E+07,43088.23
1640598653,236684.84,4.536984E+08,216046.85,47333.42,9.074000E+07,43209.52
1640598713,251665.82,4.687984E+08,217036.26,50333.34,9.376000E+07,43407.40
1640598773,268334.42,4.848984E+08,218422.70,53666.66,9.698000E+07,43684.68
1640598833,249998.81,4.998984E+08,219253.65,49999.99,9.998000E+07,43850.87
