Bulk loading file /home/kimonas/iot_data/timescale-data-medium.csv
+ pg_isready -h localhost -p 5433
localhost:5433 - accepting connections
+ cat /home/kimonas/iot_data/timescale-data-medium.csv
+ /home/kimonas/Time-Series-Databases-Benchmarks/tsbs/bin/tsbs_load_timescaledb --postgres=sslmode=disable --db-name=benchmark_medium --host=localhost --port=5433 --pass=asd --user=postgres --workers=4 --batch-size=10000 --reporting-period=10s --use-hypertable=true --use-jsonb-tags=false --in-table-partition-tag=true --hash-workers=false --time-partition-index=false --partitions=0 --chunk-time=8h --write-profile= --field-index-count=1 --do-create-db=true --force-text-format=false
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1640286146,129997.14,1.300088E+06,129997.14,25997.67,2.600000E+05,25997.67
1640286156,145020.25,2.750176E+06,137508.07,29002.29,5.500000E+05,27499.85
1640286166,129997.75,4.050152E+06,135004.64,26000.03,8.100000E+05,26999.91
1640286176,89994.83,4.950100E+06,123752.22,18000.01,9.900000E+05,24749.94
1640286186,139957.31,6.349684E+06,126993.25,27999.78,1.270000E+06,25399.91
1640286196,110050.00,7.450220E+06,124169.30,21999.28,1.490000E+06,24833.13
1640286206,94990.63,8.400088E+06,120001.10,19000.77,1.680000E+06,23999.97
1640286216,80023.03,9.200320E+06,115003.83,15999.97,1.840000E+06,22999.97
1640286226,89997.94,1.010030E+07,112225.40,17999.99,2.020000E+06,22444.41
1640286236,99837.41,1.109967E+07,110985.50,19980.11,2.220000E+06,22197.76
1640286246,95147.45,1.205019E+07,109547.11,19019.00,2.410000E+06,21909.07
1640286256,119988.47,1.325008E+07,110417.23,23999.93,2.650000E+06,22083.31
1640286266,235031.31,1.560052E+07,120003.38,46997.54,3.120000E+06,23999.88
1640286276,315061.97,1.875096E+07,133935.34,63003.59,3.750000E+06,26785.70
1640286286,194954.20,2.070050E+07,138003.25,39000.04,4.140000E+06,27599.99
1640286296,214964.18,2.285032E+07,142813.70,42996.27,4.570000E+06,28562.34
1640286306,294982.07,2.580001E+07,151764.34,59002.73,5.160000E+06,30352.86
1640286316,210006.99,2.789999E+07,154999.91,42001.72,5.580000E+06,30999.99
1640286326,205052.95,2.995053E+07,157634.29,40999.79,5.990000E+06,31526.30
1640286336,114994.89,3.110058E+07,155502.16,22998.10,6.220000E+06,31099.86
1640286346,369994.56,3.480022E+07,165715.24,74006.03,6.960000E+06,33142.84
1640286356,169999.01,3.650020E+07,165909.96,34000.20,7.300000E+06,33181.81
1640286366,315011.92,3.965032E+07,172392.65,63000.06,7.930000E+06,34478.25
1640286376,344996.51,4.310028E+07,179584.48,68999.94,8.620000E+06,35916.66
1640286386,169975.26,4.480004E+07,179200.11,33999.85,8.960000E+06,35839.99
1640286396,370044.72,4.850050E+07,186540.29,73999.90,9.700000E+06,37307.68
1640286406,249936.25,5.099986E+07,188888.29,49999.97,1.020000E+07,37777.76
1640286416,319960.18,5.419945E+07,193569.41,64000.20,1.084000E+07,38714.27
1640286426,329983.21,5.749926E+07,198273.31,66000.40,1.150000E+07,39655.17
1640286436,239947.56,5.989876E+07,199662.46,47999.59,1.198000E+07,39933.32
1640286446,349984.32,6.339859E+07,204511.54,70000.22,1.268000E+07,40903.22
1640286456,225053.18,6.564913E+07,205153.46,44999.92,1.313000E+07,41031.24
1640286466,259979.27,6.824904E+07,206814.92,51997.69,1.365000E+07,41363.57
1640286476,350017.60,7.174904E+07,211026.56,70003.36,1.435000E+07,42205.88
1640286486,174999.65,7.349905E+07,209997.22,34999.77,1.470000E+07,41999.99
1640286496,254963.21,7.604870E+07,211246.28,50999.68,1.521000E+07,42249.98
1640286506,305005.45,7.909873E+07,213780.29,61000.53,1.582000E+07,42756.75
1640286516,270022.11,8.179895E+07,215260.34,54000.02,1.636000E+07,43052.62
1640286526,229937.58,8.409840E+07,215636.69,45998.39,1.682000E+07,43128.16
1640286536,265027.26,8.674859E+07,216871.41,53001.77,1.735000E+07,43374.99
1640286546,185050.10,8.859909E+07,216095.28,36999.94,1.772000E+07,43219.50
1640286556,219997.76,9.079907E+07,216188.20,44000.03,1.816000E+07,43238.08
1640286566,329998.17,9.409902E+07,218834.91,66000.67,1.882000E+07,43767.44
1640286576,245020.49,9.654924E+07,219430.04,48999.62,1.931000E+07,43886.35
1640286586,189930.27,9.844855E+07,218774.49,37999.89,1.969000E+07,43755.54
1640286596,400027.22,1.024488E+08,222714.76,80000.16,2.049000E+07,44543.47
1640286606,224825.08,1.046990E+08,222759.70,44960.86,2.094000E+07,44552.36
1640286616,309963.95,1.077984E+08,224576.26,62005.67,2.156000E+07,44915.93
1640286626,275234.91,1.105486E+08,225609.30,55042.90,2.211000E+07,45122.44
1640286636,239942.78,1.129480E+08,225895.97,48000.24,2.259000E+07,45180.00
1640286646,364994.80,1.165980E+08,228623.41,72999.52,2.332000E+07,45725.48
1640286656,219962.56,1.187976E+08,228456.86,44000.11,2.376000E+07,45692.30
1640286666,260014.42,1.213977E+08,229052.29,51999.84,2.428000E+07,45811.31
1640286676,365021.64,1.250479E+08,231570.23,73000.25,2.501000E+07,46314.81
1640286686,190010.61,1.269481E+08,230814.60,37999.96,2.539000E+07,46163.63

Summary:
loaded 129657155 metrics in 557.931sec with 4 workers (mean rate 232389.40 metrics/sec)
loaded 25931825 rows in 557.931sec with 4 workers (mean rate 46478.59 rows/sec)
